state,primary-boys,primary-girls,primary-total
Andhra Pradesh,92.2,91.8,92.0
Arunachal Pradesh,155.7,148.2,152.0
Assam,83.0,85.1,84.0
Bihar,106.9,98.5,102.9
Chhattisgarh,112.2,106.6,109.4
Goa,104.0,98.0,101.0
Gujarat,108.2,106.1,107.2
Haryana,87.5,94.2,90.5
Himachal Pradesh,111.7,110.1,111.0
Jammu & Kashmir,103.9,104.5,104.2
Jharkhand,120.6,121.5,121.0
Karnataka,100.2,98.3,99.3
Kerala,97.1,95.2,96.2
Madhya Pradesh,119.8,125.6,122.6
Maharashtra,101.5,98.3,100.0
Manipur,158.7,151.1,155.0
Meghalaya,150.8,156.3,153.6
Mizoram,155.6,145.8,150.7
Nagaland,85.4,85.4,85.4
Odisha,105.0,104.6,104.8
Punjab,104.1,101.9,103.1
Rajasthan,103.0,95.2,99.3
Sikkim,121.7,126.0,123.8
Tamil Nadu,111.8,112.2,112.0
Tripura,116.0,114.7,115.4
Uttar Pradesh,109.3,109.6,109.5
Uttarakhand,105.9,109.8,107.8
West Bengal,88.7,91.5,90.1
Andaman and Nicobar Islands,88.3,85.5,86.9
Chandigarh,80.7,77.7,79.3
D & N Haveli,103.1,104.9,103.9
Daman & Diu,75.1,82.2,78.2
Delhi,120.0,120.2,120.1
Lakshadweep,78.4,85.6,81.9
Puducherry,105.6,101.2,103.4
India,104.9,103.7,104.3
