state,primary-boys,primary-girls,primary-total
Andhra Pradesh,86.1,87.7,86.9
Arunachal Pradesh,117.6,112.9,115.3
Assam,74.2,77.3,75.7
Bihar,88.9,86.6,87.8
Chhattisgarh,106.5,102.6,104.6
Goa,116.9,112.3,114.7
Gujarat,98.9,97.2,98.1
Haryana,82.4,90.0,85.8
Himachal Pradesh,101.9,102.2,102.1
Jammu & Kashmir,85.0,86.2,85.6
Jharkhand,102.2,104.1,103.1
Karnataka,99.2,97.1,98.2
Kerala,91.4,90.4,90.9
Madhya Pradesh,111.2,116.3,113.7
Maharashtra,99.0,97.5,98.3
Manipur,112.7,117.3,114.9
Meghalaya,110.2,117.9,114.0
Mizoram,114.0,107.7,110.9
Nagaland,79.3,80.2,79.7
Odisha,95.2,93.2,94.2
Punjab,101.3,101.0,101.2
Rajasthan,95.8,92.5,94.3
Sikkim,115.3,121.9,118.6
Tamil Nadu,110.9,112.5,111.7
Tripura,110.3,110.8,110.5
Uttar Pradesh,97.7,98.0,97.8
Uttarakhand,88.7,91.5,90.0
West Bengal,101.4,107.4,104.4
Andaman and Nicobar Islands,104.3,103.1,103.7
Chandigarh,105.8,107.7,106.6
D & N Haveli,105.4,102.7,104.1
Daman & Diu,96.8,93.7,95.3
Delhi,109.9,112.6,111.1
Lakshadweep,108.1,107.4,107.7
Puducherry,110.6,109.0,109.8
India,97.2,97.6,97.4
