state,primary-boys,primary-girls,primary-total
Andhra Pradesh,84.42,80.47,82.47
Arunachal Pradesh,106.55,90.87,98.82
Assam,108.63,90.20,99.54
Bihar,72.72,45.78,59.69
Chhattisgarh,106.95,88.93,97.89
Goa,71.08,60.39,65.55
Gujarat,109.52,94.50,102.25
Haryana,73.27,71.68,72.53
Himachal Pradesh,99.23,83.52,91.02
Jammu & Kashmir,95.91,73.37,84.41
Jharkhand,78.02,58.83,68.63
Karnataka,101.54,93.42,97.53
Kerala,91.41,88.85,90.16
Madhya Pradesh,101.13,81.34,91.55
Maharashtra,104.54,98.32,101.50
Manipur,99.35,84.41,91.65
Meghalaya,97.07,91.64,94.26
Mizoram,113.87,96.84,105.21
Nagaland,92.19,87.22,89.72
Odisha,107.19,76.39,92.03
Punjab,72.41,72.72,72.55
Rajasthan,124.84,69.74,98.48
Sikkim,97.34,98.09,97.72
Tamil Nadu,96.12,95.32,95.73
Tripura,97.17,82.87,89.93
Uttar Pradesh,67.49,39.42,54.10
Uttarakhand,90.21,90.11,90.16
West Bengal,92.14,83.50,87.88
Andaman and Nicobar Islands,87.37,86.43,86.92
Chandigarh,58.31,59.08,58.67
D & N Haveli,129.88,90.94,109.85
Daman & Diu,104.33,79.53,90.98
Delhi,86.37,81.38,83.94
Lakshadweep,106.58,91.45,99.07
Puducherry,88.98,75.14,81.76
India,90.69,73.56,82.35
