state,primary-boys,primary-girls,primary-total
Andhra Pradesh,83.5,83.1,83.3
Arunachal Pradesh,127.5,128.1,127.8
Assam,98.8,104.6,101.6
Bihar,102.4,113.7,107.7
Chhattisgarh,100.7,101.1,100.9
Gujarat,95.3,98.3,96.7
Haryana,89.0,95.4,91.8
Himachal Pradesh,100.0,101.9,100.9
Jammu & Kashmir,78.8,81.5,80.1
Jharkhand,104.9,109.4,107.1
Karnataka,99.0,99.8,99.4
Kerala,95.1,95.8,95.4
Madhya Pradesh,93.5,95.2,94.3
Maharashtra,97.7,99.0,98.3
Manipur,128.3,132.9,130.6
Meghalaya,134.9,144.0,139.4
Mizoram,128.3,124.8,126.6
Nagaland,98.3,102.7,100.4
Odisha,101.2,99.2,100.2
Punjab,98.0,103.6,100.4
Rajasthan,97.8,96.6,97.2
Sikkim,119.5,118.0,118.8
Tamil Nadu,99.0,100.9,99.9
Telangana,97.6,98.0,97.8
Tripura,113.4,115.3,114.3
Uttar Pradesh,81.3,91.8,86.2
Uttarakhand,93.9,95.3,94.6
West Bengal,101.2,107.3,104.2
Andaman and Nicobar Islands,89.3,84.9,87.1
Chandigarh,82.3,92.3,86.7
D & N Haveli,88.0,83.0,85.6
Daman & Diu,77.9,84.8,81.0
Delhi,111.8,122.6,116.6
Goa,99.3,103.1,101.1
Lakshadweep,83.3,72.2,77.5
Puducherry,81.0,91.1,85.6
India,94.5,99.6,96.9
