state,primary-boys,primary-girls,primary-total
Andhra Pradesh,88.5,87.8,88.1
Arunachal Pradesh,125.5,111.4,118.6
Assam,86.1,85.7,85.9
Bihar,83.7,63.8,74.1
Chhattisgarh,114.3,105.5,109.9
Goa,110.6,105.9,108.3
Gujarat,110.6,94.6,103.1
Haryana,83.7,86.9,85.2
Himachal Pradesh,111.7,110.4,111.1
Jammu & Kashmir,91.8,83.4,87.8
Jharkhand,95.5,83.1,89.4
Karnataka,101.5,98.3,99.9
Kerala,96.0,94.9,95.5
Madhya Pradesh,134.1,125.8,130.1
Maharashtra,110.3,107.6,109.0
Manipur,143.2,136.7,140.0
Meghalaya,152.3,153.3,152.8
Mizoram,132.5,127.9,130.2
Nagaland,79.1,79.1,79.1
Odisha,102.0,95.6,98.9
Punjab,74.1,79.3,76.4
Rajasthan,112.9,99.2,106.4
Sikkim,111.6,117.3,114.4
Tamil Nadu,114.8,114.0,114.4
Tripura,121.8,117.9,119.9
Uttar Pradesh,95.6,85.8,90.9
Uttarakhand,108.5,112.9,110.6
West Bengal,89.7,91.4,90.5
Andaman and Nicobar Islands,104.9,104.8,104.9
Chandigarh,87.3,78.4,83.1
D & N Haveli,137.6,125.9,132.0
Daman & Diu,134.3,124.8,129.7
Delhi,99.8,102.6,101.1
Lakshadweep,59.3,59.9,59.6
Puducherry,135.4,119.2,127.1
India,100.4,93.5,97.1
